timestamp,agent_name,source_id,action,details,confidence
2026-03-15T16:52:14.753161+00:00,csv_reader,R001,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.753499+00:00,csv_reader,R002,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.753653+00:00,csv_reader,R003,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.753810+00:00,csv_reader,R004,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.753969+00:00,csv_reader,R005,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.754135+00:00,csv_reader,R006,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.754271+00:00,csv_reader,R007,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.754394+00:00,csv_reader,R008,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.754538+00:00,csv_reader,R009,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.754677+00:00,csv_reader,R010,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.754786+00:00,csv_reader,R011,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.754943+00:00,csv_reader,R012,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755057+00:00,csv_reader,R013,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755179+00:00,csv_reader,R014,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755284+00:00,csv_reader,R015,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755390+00:00,csv_reader,R016,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755492+00:00,csv_reader,R017,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755595+00:00,csv_reader,R018,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755739+00:00,csv_reader,R019,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.755898+00:00,csv_reader,R020,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.756074+00:00,csv_reader,R021,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.756178+00:00,csv_reader,R022,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.756287+00:00,csv_reader,R023,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.756436+00:00,csv_reader,R024,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.756569+00:00,csv_reader,R025,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.756747+00:00,csv_reader,R026,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.756875+00:00,csv_reader,R027,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.757077+00:00,csv_reader,R028,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.757243+00:00,csv_reader,R029,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.757488+00:00,csv_reader,R030,loaded,source_type=app_review,0.0
2026-03-15T16:52:14.757733+00:00,csv_reader,E001,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.757975+00:00,csv_reader,E002,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758119+00:00,csv_reader,E003,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758255+00:00,csv_reader,E004,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758381+00:00,csv_reader,E005,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758474+00:00,csv_reader,E006,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758569+00:00,csv_reader,E007,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758670+00:00,csv_reader,E008,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758778+00:00,csv_reader,E009,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.758934+00:00,csv_reader,E010,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.759124+00:00,csv_reader,E011,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.759311+00:00,csv_reader,E012,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.759497+00:00,csv_reader,E013,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.759657+00:00,csv_reader,E014,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.759802+00:00,csv_reader,E015,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.759949+00:00,csv_reader,E016,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.760114+00:00,csv_reader,E017,loaded,source_type=support_email,0.0
2026-03-15T16:52:14.760264+00:00,csv_reader,E018,loaded,source_type=support_email,0.0
